"id","location","date_test","sex","lp","age_group","age","doe_catalan","doe_spanish","doe_english","doe_others","test_language","list","version","filename"
"58136","Barcelona",2022-10-04,"f","Bilingual","30 months",31.333333333333332,0.48,0.43,0.09,0,"Spanish",3,"euro","CognatePriming_200_2022-10-04.csv"
"58137","Barcelona",2022-10-05,"m","Bilingual","30 months",31.366666666666667,0.49,0.51,0,0,"Catalan",2,"ll","CognatePriming_177_2022-10-05.csv"
"58298","Barcelona",2022-10-06,"f","Monolingual","30 months",29.3,0.99,0.01,0,0,"Catalan",1,"ll","CognatePriming_183_2022-10-06.csv"
"58725","Barcelona",2022-10-07,"m","Monolingual","25 months",24.8,0.97,0.03,0,0,"Catalan",2,"ll","CognatePriming_201_2022-10-07.csv"
"58139","Barcelona",2022-10-08,"m","Monolingual","30 months",31.433333333333334,0.97,0.03,0,0,"Catalan",3,"ll","CognatePriming_202_2022-10-08.csv"
"58120","Barcelona",2022-10-08,"f","Bilingual","30 months",31.666666666666668,0.66,0.34,0,0,"Catalan",1,"ll","CognatePriming_203_2022-10-08.csv"
"58176","Barcelona",2022-10-15,"m","Bilingual","30 months",31.35483870967742,0.5700000000000001,0.43,0,0,"Catalan",1,"ll","CognatePriming_174_2022-10-15.csv"
"58530","Barcelona",2022-10-15,"f","Bilingual","30 months",29.533333333333335,0.59,0.41000000000000003,0,0,"Catalan",2,"ll","CognatePriming_158_2022-10-15.csv"
"25035","Oxford",2022-09-14,"m","Monolingual","25 months",25.13347022587269,0,0,1,0,"English",2,"British","25035.csv"
"25036","Oxford",2022-09-05,"m","Monolingual","25 months",25.659137577002053,0,0,1,0,"English",4,"British","25036.csv"
"30495","Oxford",2022-08-25,"f","Monolingual","30 months",30.028747433264886,0,0,1,0,"English",4,"British","30495.csv"
"30494","Oxford",2022-08-10,"f","Monolingual","30 months",30.817248459958932,0,0,1,0,"English",1,"British","30494.csv"
"25034","Oxford",2022-08-09,"f","Monolingual","25 months",24.213552361396303,0,0,1,0,"English",1,"British","25034.csv"
"30492","Oxford",2022-08-04,"m","Monolingual","30 months",30.455852156057496,0,0,1,0,"English",3,"British","30492.csv"
"30493","Oxford",2022-08-02,"m","Monolingual","30 months",29.700205338809035,0,0,1,0,"English",4,"British","30493.csv"
"25032","Oxford",2022-07-26,"m","Monolingual","25 months",24.93634496919918,0,0,1,0,"English",2,"British","25032.csv"
"25031","Oxford",2022-07-26,"f","Monolingual","25 months",25.13347022587269,0,0,1,0,"English",3,"British","25031.csv"
